Date,DayOfWeek,Month,Year,Temperature,Humidity,Occupancy,HVACUsage,LightingUsage,RenewableEnergy,IsHoliday,IsVacation,IsExam,IsRegularAcademic,IsFestival,IsConvocation,EnergyConsumption,Hour,TimeOfDay
2021-01-01,Friday,1,2021,14.3,59.7,50.0,0,0,9.6,0,1,0,0,0,0,51.9,0,Late Night
2021-01-01,Friday,1,2021,15.4,58.1,50.0,0,0,0.0,0,1,0,0,0,0,35.0,1,Late Night
2021-01-01,Friday,1,2021,7.3,36.4,50.0,0,0,0.8,0,1,0,0,0,0,22.7,2,Late Night
2021-01-01,Friday,1,2021,11.4,55.6,50.0,0,0,5.0,0,1,0,0,0,0,22.5,3,Late Night
2021-01-01,Friday,1,2021,14.9,68.1,50.0,1,0,0.0,0,1,0,0,0,0,72.5,4,Late Night
2021-01-01,Friday,1,2021,12.7,60.5,50.0,0,0,6.0,0,1,0,0,0,0,17.2,5,Late Night
2021-01-01,Friday,1,2021,17.0,54.8,93.3,1,0,6.1,0,1,0,0,0,0,62.2,6,Morning
2021-01-01,Friday,1,2021,15.0,64.6,87.3,0,0,16.5,0,1,0,0,0,0,52.3,7,Morning
2021-01-01,Friday,1,2021,17.1,55.4,94.2,1,0,10.2,0,1,0,0,0,0,43.4,8,Morning
2021-01-01,Friday,1,2021,20.2,45.5,354.3,1,0,39.8,0,1,0,0,0,0,86.2,9,Morning
2021-01-01,Friday,1,2021,11.2,63.7,369.9,1,0,36.6,0,1,0,0,0,0,73.3,10,Morning
2021-01-01,Friday,1,2021,13.8,28.0,370.8,0,0,27.5,0,1,0,0,0,0,57.8,11,Morning
2021-01-01,Friday,1,2021,18.7,37.6,360.59999999999997,1,1,54.0,0,1,0,0,0,0,81.2,12,Afternoon
2021-01-01,Friday,1,2021,22.0,76.9,336.9,1,0,41.3,0,1,0,0,0,0,80.1,13,Afternoon
2021-01-01,Friday,1,2021,29.2,51.9,356.09999999999997,1,0,24.2,0,1,0,0,0,0,99.8,14,Afternoon
2021-01-01,Friday,1,2021,19.4,42.4,365.4,1,0,14.4,0,1,0,0,0,0,103.5,15,Afternoon
2021-01-01,Friday,1,2021,20.5,38.3,378.59999999999997,1,0,13.4,0,1,0,0,0,0,104.4,16,Afternoon
2021-01-01,Friday,1,2021,25.3,52.8,226.5,1,1,0.0,0,1,0,0,0,0,101.1,17,Afternoon
