timestamp,temperature,humidity,current,predicted_energy
2024-01-15T08:00:00Z,22.5,65.2,15.3,45.8
2024-01-15T08:15:00Z,23.1,64.8,16.1,48.2
2024-01-15T08:30:00Z,23.8,64.5,17.2,51.6
2024-01-15T08:45:00Z,24.2,64.1,18.5,55.5
2024-01-15T09:00:00Z,24.5,63.8,19.8,59.4
2024-01-15T09:15:00Z,25.1,63.5,21.2,63.6
2024-01-15T09:30:00Z,25.5,63.2,22.5,67.5
2024-01-15T09:45:00Z,26.0,62.9,23.8,71.4
2024-01-15T10:00:00Z,26.5,62.6,25.1,75.3
2024-01-15T10:15:00Z,27.0,62.3,26.4,79.2
2024-01-15T10:30:00Z,27.5,62.0,27.7,83.1
2024-01-15T10:45:00Z,28.0,61.7,28.9,86.7
2024-01-15T11:00:00Z,28.2,61.5,29.5,88.5
2024-01-15T11:15:00Z,28.5,61.2,30.2,90.6
2024-01-15T11:30:00Z,28.8,61.0,30.8,92.4
2024-01-15T11:45:00Z,29.0,60.8,31.2,93.6
2024-01-15T12:00:00Z,29.2,60.6,31.5,94.5
2024-01-15T12:15:00Z,29.0,60.8,31.0,93.0
2024-01-15T12:30:00Z,28.8,61.0,30.5,91.5
2024-01-15T12:45:00Z,28.5,61.2,30.0,90.0
2024-01-15T13:00:00Z,28.2,61.5,29.5,88.5
2024-01-15T13:15:00Z,28.0,61.7,29.0,87.0
2024-01-15T13:30:00Z,27.8,62.0,28.5,85.5
2024-01-15T13:45:00Z,27.5,62.3,28.0,84.0
2024-01-15T14:00:00Z,27.2,62.6,27.5,82.5
2024-01-15T14:15:00Z,27.0,62.9,27.0,81.0
2024-01-15T14:30:00Z,26.8,63.2,26.5,79.5
2024-01-15T14:45:00Z,26.5,63.5,26.0,78.0
2024-01-15T15:00:00Z,26.2,63.8,25.5,76.5
2024-01-15T15:15:00Z,26.0,64.1,25.0,75.0
2024-01-15T15:30:00Z,25.8,64.4,24.5,73.5
2024-01-15T15:45:00Z,25.5,64.7,24.0,72.0
2024-01-15T16:00:00Z,25.2,65.0,23.5,70.5
2024-01-15T16:15:00Z,25.0,65.2,23.0,69.0
2024-01-15T16:30:00Z,24.8,65.5,22.5,67.5
2024-01-15T16:45:00Z,24.5,65.8,22.0,66.0
2024-01-15T17:00:00Z,24.2,66.0,21.5,64.5
2024-01-15T17:15:00Z,24.0,66.2,21.0,63.0
2024-01-15T17:30:00Z,23.8,66.5,20.5,61.5
2024-01-15T17:45:00Z,23.5,66.8,20.0,60.0
2024-01-15T18:00:00Z,23.2,67.0,19.5,58.5
2024-01-15T18:15:00Z,23.0,67.2,19.0,57.0
2024-01-15T18:30:00Z,22.8,67.5,18.5,55.5
2024-01-15T18:45:00Z,22.5,67.8,18.0,54.0
2024-01-15T19:00:00Z,22.2,68.0,17.5,52.5
2024-01-15T19:15:00Z,22.0,68.2,17.0,51.0
2024-01-15T19:30:00Z,21.8,68.5,16.5,49.5
2024-01-15T19:45:00Z,21.5,68.8,16.0,48.0
2024-01-15T20:00:00Z,21.2,69.0,15.5,46.5
2024-01-15T20:15:00Z,21.0,69.2,15.0,45.0
2024-01-15T20:30:00Z,20.8,69.5,14.5,43.5
2024-01-15T20:45:00Z,20.5,69.8,14.0,42.0
2024-01-15T21:00:00Z,20.2,70.0,13.5,40.5
2024-01-15T21:15:00Z,20.0,70.2,13.0,39.0
2024-01-15T21:30:00Z,19.8,70.5,12.5,37.5
2024-01-15T21:45:00Z,19.5,70.8,12.0,36.0
2024-01-15T22:00:00Z,19.2,71.0,11.5,34.5
2024-01-15T22:15:00Z,19.0,71.2,11.0,33.0
2024-01-15T22:30:00Z,18.8,71.5,10.5,31.5
2024-01-15T22:45:00Z,18.5,71.8,10.0,30.0
2024-01-15T23:00:00Z,18.2,72.0,9.5,28.5
2024-01-15T23:15:00Z,18.0,72.2,9.0,27.0
2024-01-15T23:30:00Z,17.8,72.5,8.5,25.5
2024-01-15T23:45:00Z,17.5,72.8,8.0,24.0

